,onset,offset,label,onset_sample,offset_sample,length,corrcoeff
318,122.5063,122.511433,1,3675189,3675342,153,-0.1548046521611655
319,122.512567,122.519533,1,3675377,3675585,208,0.2857943591013349
320,122.5298,122.535,1,3675894,3676050,156,-0.056478580159671735
321,122.560167,122.662567,1,3676805,3679877,3072,0.8845487808332415
322,122.686567,122.777767,1,3680597,3683333,2736,0.751564137921482
323,122.778967,122.800767,1,3683369,3684023,654,0.6852673933587389
324,123.2803,123.3585,1,3698409,3700755,2346,0.7028327659526945
325,123.359933,123.387833,1,3700797,3701634,837,0.707141541185691
326,126.868333,126.8718,1,3806049,3806154,105,
327,131.178767,131.183767,1,3935363,3935513,150,0.4624321785474579
328,132.8227,132.8258,1,3984681,3984773,92,
329,132.827967,132.834667,1,3984839,3985040,201,-0.1687651010736346
330,133.542167,133.566733,1,4006265,4007001,736,0.016490852055107783
331,133.576467,133.598,1,4007294,4007940,646,0.14281350521410638
332,133.608767,133.631333,1,4008263,4008939,676,0.12647672136807733
333,133.640867,133.646333,1,4009226,4009389,163,0.05532593989163957
334,133.6505,133.6803,1,4009515,4010408,893,0.17394934243277665
335,133.684267,133.7196,1,4010528,4011588,1060,0.20134496386027614
336,133.725133,133.747267,1,4011753,4012418,665,0.10487320315315633
337,133.7726,133.778333,1,4013178,4013349,171,0.03547931192059597
338,133.785967,133.842,1,4013579,4015260,1681,0.044201465716908674
339,133.875767,133.881133,1,4016273,4016433,160,-0.05059759057108781
340,133.883867,133.931433,1,4016516,4017942,1426,0.08230084116793986
341,133.9331,133.9536,1,4017993,4018608,615,-0.0535248156503264
342,133.958267,133.963267,1,4018748,4018898,150,0.26639981448699845
343,133.973767,133.981367,1,4019213,4019441,228,0.2665354320546463
344,133.9879,134.013967,1,4019637,4020419,782,-0.026502299491661
345,134.0153,134.018633,1,4020459,4020558,99,-0.411846684275872
346,134.032,134.036233,1,4020960,4021086,126,0.034404731039180944
347,134.048733,134.052833,1,4021461,4021584,123,0.08809540872074273
348,134.0583,134.068367,1,4021749,4022051,302,0.039490282072710624
349,135.1183,135.1224,1,4053549,4053672,123,
350,135.1237,135.126867,1,4053711,4053806,95,
351,135.535967,135.5477,1,4066079,4066430,351,0.4008306374143824
352,136.128133,136.131133,1,4083843,4083933,90,-0.37548832522960823
353,137.647133,137.650233,1,4129413,4129506,93,0.22844663993429493
354,137.6513,137.6563,1,4129538,4129688,150,0.1294308634346823
355,137.661367,137.6781,1,4129841,4130343,502,0.7726547496082564
356,137.679167,137.77,1,4130375,4133100,2725,0.8680178137886613
357,139.0871,139.093767,1,4172613,4172813,200,0.11514187165623033
358,139.094833,139.205833,1,4172844,4176174,3330,0.8680548716386377
359,139.7158,139.724833,1,4191474,4191744,270,0.7232590976119011
360,139.731167,139.740267,1,4191935,4192208,273,0.472479252425775
361,139.757133,139.8174,1,4192713,4194522,1809,0.677115852256298
362,139.8372,139.8705,1,4195116,4196115,999,0.5997968421440301
363,139.8975,139.905167,1,4196925,4197155,230,0.6002874951971459
364,139.914,139.930067,1,4197420,4197902,482,0.5701014157303196
365,139.9451,139.9611,1,4198353,4198833,480,0.46154066012902834
366,139.9807,139.9849,1,4199421,4199547,126,0.6861542376322297
367,140.0102,140.014967,1,4200306,4200449,143,0.6879186954437643
368,140.0183,140.027833,1,4200549,4200834,285,0.662435991897954
369,140.059533,140.063567,1,4201785,4201907,122,0.6246071034692955
370,140.252933,140.410433,1,4207587,4212312,4725,0.8393870958411794
371,140.4233,140.4669,1,4212699,4214007,1308,0.8104265766883711
372,140.470333,140.5511,1,4214109,4216533,2424,0.7912636781019867
373,141.088033,141.0936,1,4232640,4232808,168,0.6395912252816462
374,141.115767,141.1346,1,4233473,4234038,565,0.846230092015229
375,141.162,141.181633,1,4234860,4235448,588,0.8950356642013158
376,141.187533,141.215967,1,4235625,4236479,854,0.7293743726761188
377,141.2186,141.251833,1,4236558,4237554,996,0.6753321018397813
378,141.276233,141.354167,1,4238286,4240625,2339,0.7385976009925606
379,141.365667,141.4099,1,4240970,4242297,1327,0.8102423934002692
380,141.414433,141.426933,1,4242432,4242807,375,0.7007081712917721
381,141.429533,141.435333,1,4242885,4243059,174,0.5151380919665423
382,141.436333,141.476167,1,4243089,4244285,1196,0.6562949528716064
383,141.496733,141.500067,1,4244901,4245002,101,0.8194035401641737
384,141.5013,141.512367,1,4245039,4245371,332,0.809662493537443
385,141.513633,141.536167,1,4245408,4246085,677,0.741681450320812
386,141.542167,141.546867,1,4246265,4246406,141,0.5483714830885962
387,141.549467,141.5994,1,4246484,4247982,1498,0.72182396330594
388,141.618833,141.640267,1,4248564,4249208,644,0.7489917340021363
389,141.656167,141.669,1,4249685,4250070,385,0.7996524565764208
390,141.6759,141.695967,1,4250277,4250879,602,0.7294199772560248
391,142.0912,142.238333,1,4262736,4267149,4413,0.8432529521364615
392,142.239567,142.244033,1,4267187,4267320,133,0.6381606218362995
393,142.245933,142.249067,1,4267377,4267472,95,0.07812929570655175
394,142.2501,142.297433,1,4267503,4268922,1419,0.8269725868933997
395,142.323233,142.349833,1,4269696,4270494,798,0.8274319312581198
396,142.353167,142.4144,1,4270595,4272432,1837,0.7898245489900942
397,142.4184,142.430333,1,4272552,4272909,357,0.7197989832537237
398,142.437733,142.519367,1,4273131,4275581,2450,0.7932428213069551
399,142.876967,142.9352,1,4286309,4288056,1747,0.8138799842403743
400,142.946833,142.953667,1,4288404,4288610,206,0.12709548202282367
401,143.4243,143.5257,1,4302729,4305771,3042,0.823963942471199
402,143.531867,143.543,1,4305956,4306290,334,0.10748103879617109
403,143.595933,143.600133,1,4307877,4308003,126,0.18139464192887333
404,143.6078,143.720633,1,4308234,4311618,3384,0.799599106899628
405,143.7279,143.741033,1,4311837,4312230,393,0.559974262003133
406,143.781467,143.784967,1,4313444,4313549,105,
407,144.1579,144.276067,1,4324737,4328282,3545,0.8085362446992287
408,144.288133,144.294033,1,4328643,4328820,177,0.27204314596240853
409,144.361967,144.467067,1,4330859,4334012,3153,0.8080440871203602
410,144.489567,144.494133,1,4334687,4334823,136,0.3145107487727496
411,144.496533,144.505867,1,4334895,4335176,281,0.06492639384601617
412,144.552867,144.558267,1,4336586,4336748,162,-0.0047997820205991585
413,144.561167,144.663933,1,4336835,4339917,3082,0.8146832944778659
414,144.6795,144.686633,1,4340385,4340598,213,-0.01674290165541912
415,145.0889,145.103033,1,4352667,4353090,423,0.5986367239317115
416,145.1079,145.112567,1,4353237,4353377,140,0.11548712062851549
417,145.1188,145.214767,1,4353564,4356443,2879,0.7989583405545392
418,145.2439,145.251867,1,4357317,4357556,239,-0.02096464049839938
419,145.602933,145.606533,1,4368087,4368195,108,0.5610975056381874
420,145.613767,145.6335,1,4368413,4369005,592,0.6320014670230053
421,145.6358,145.6444,1,4369074,4369332,258,0.7590174773683144
422,145.648967,145.655133,1,4369469,4369653,184,0.668263672677451
423,145.658467,145.667567,1,4369754,4370027,273,0.6794234266022725
